message,category
dimVitrarius: it's a /r XdY!! for that,out-of-character
"Basically, if you lack a certain skill, you can instead choose to roll the associated Trait Dice at a minimum of -4.",out-of-character
"Crystal Saint Claire: ""I would not object.""
Whitney G. Elieen: ""You may stay with us yes.""",character dialogue
Crystal Saint Claire: (Trail rations),out-of-character
(To Scotty): IT'S GOING.,out-of-character
"Alexander Hauswald: ""...So as I was saying.""",character dialogue
"Nevermore: After 5 it is two points per rank.
It caps out at 20.",out-of-character
"Nephi ""Longiron"" Delano: ""Wh-""
""He doesn't get a bed all to himself!""",character dialogue
Lil' Big Junior Bawss Bandit jabs the bigger bandit in the knee.,character action
"Wonderful Cowboy Land: Everything stops.
None of you can perceive the stopping, save for Hauswald.
But Hauswald can only watch.
And listen.
??? walks out from behind a tombstone and approaches Alex with a spring in his step.",character action
Doc Mitchell leans back on his surgical table and sighs. His eyes drift closed.,character action
"Fat Waiter: ""You always do a good job Miss Rockett.""",character dialogue
"Cassie-May O'Brien: ""...Y'all a huckster?""",character dialogue
"Bartender: ""Ah, one of the new fellas.""",character dialogue
"Cassie-May O'Brien: ""Gotta put sum' honey on all tha' smartass stingin', don't Ah?""
Cassie-May O'Brien snickered.",character dialogue
"Undead Leadslinger: To the head?
Alexander Hauswald: Yep.",out-of-character
Whitney G. Elieen hits the deck!,character action
Nevermore: I'm working with Doc on a new initiative system since the one the game comes with is slow as,out-of-character
But I accidentallied a Johnny Test,out-of-character
"
Nephi ""Longiron"" Delano: You can spend a fate chip to negate it.
Do you want to?
Alexander Hauswald: Nah",out-of-character
"Rockett Rimbjob: ""...Mister Lane. Tellin' his daughter ta be innocent an' precious.""
""Huh.""",character dialogue
"The Major: ""That is wonderful, but I would like to know her relation to the Confederacy.""
""Sympathizer, another Ranger perhaps?""
",character dialogue
"Crystal Saint Claire: ""I think... that reaching your sister... Will not be easy, or quick.""
Whitney G. Elieen: ""When your eyes adjust to the light""",character dialogue
"Smoker: ""I don't remember doing that.""",character dialogue
"(To GM) rolling 4d12kh1!!
0 0 0 0
( 4 + 7 + 15 + 4 )
= 15",system message
"Crystal Saint Claire: ""We know what it does... do we know what it is?""",character dialogue
"
Cassie-May O'Brien drummed her fingers on the table, suddenly lost in thought.",character action
Cassie-May O'Brien: coffee*,out-of-character
"Crystal Saint Claire: ""I was not.""
""This is a flush, correct?""",character dialogue
Alexander Hauswald: Was the titanic just her taking a swim and getting hit by a ship,out-of-character
(To Scotty): Scoot.,out-of-character
"= 17
rolling 1d20",system message
Poage: ?,out-of-character
"Crystal Saint Claire: ""painful...""
Whitney G. Elieen: ""The pain is only temporary...""
""And a fair trade for what it can do.""",character dialogue
"Crystal Saint Claire: "". . . """,character dialogue
"Cassie-May O'Brien: ""...""
Whitney G. Elieen: ""Come on Little baws...stay close.""
",character dialogue
"(To GM) rolling 2d10kh1!!
0 0
( 7 + 2 )
= 7",system message
"Alexander Hauswald: ""...Maybe something like...""
",character dialogue
"Cassie-May O'Brien: ""Thirteen each. Now them stake",character dialogue
it's 1:45 AM here.,out-of-character
Crystal Saint Claire hugs Whitney as tight as she can. Which... still isn't very tight.,character action
Little Girl stands there with blood down the front of her dress and a slight frown on her face.,character action
"Wonderful Cowboy Land: The train goes over a fair to middling size bump in the tracks. It disturbs stomachs and
some small mugs of coffee. Sacks crawls out from under the table where he was resting and begins to stretch.
Alexander Hauswald absentmindedly pets him, lost in thought.
Sacks does a big doggie yawn that ends with him smacking his lips.",character action
"(also, be back in a tick)",out-of-character
Bartender: *,out-of-character
"Rickert: Seduction roll, baby.",character action
"Scotty: woodford reserve
Yuppie b.: why are you",out-of-character
"
Nephi ""Longiron"" Delano looks at Cassie's reaction then at Rockett's reaction.",character dialogue
"Doc Mitchell: Yes.
Alexander Hauswald: Alright, kickass.",out-of-character
"Nephi ""Longiron"" Delano: ""Rockett, lemme know when yer done introducin yerself to every rich fella in the
county, wontcha?""",character dialogue
"Crystal Saint Claire: ""Ow...""
Whitney G. Elieen: ""Are you alright Crystal...?""",character dialogue
DIRT,out-of-character
"Whitney G. Elieen: ""...be gentle with them Doctor Saint-Claire.""",character dialogue
"Anyways, I should be good now.",out-of-character
"Nephi ""Longiron"" Delano: ""Lightlightlightlightlightlight""",character dialogue
"Nephi ""Longiron"" Delano: ""We're real close to Indian territory now, aren't we?""",character dialogue
"Callie ""Law-Dog"" Mathers: ""Depends. How quick's it on the draw?""",character dialogue
eyes never break contact with Rockett's. Though his smile does get wider once Rockett's panties are around her,character action
"Crystal Saint Claire: ""Dental corrective processes are amazing.""",character dialogue
"https://app.roll20.net/campaigns/chatarchive/2608552
686/791
1/20/2018
Chat Log for Wonderful Cowboy Adventure Land",system message
"Nephi ""Longiron"" Delano: ""...You can borrow my rifle if it'll help you feel safer.""",character dialogue
"Nephi ""Longiron"" Delano: ""Yeah?""",character dialogue
